"Story","Title","Result","Date","Stability","Duration (s)"
"Login admin Feature testing","Login Admin with valid email and password","SUCCESS","2022-12-06T07:15:10.7583442+07:00[Asia/Bangkok]","0.0","8.94"
"Login admin Feature testing","Login Admin with invalid email and password","SUCCESS","2022-12-06T07:15:19.7159235+07:00[Asia/Bangkok]","0.0","0.18"
"Login admin Feature testing","Login Admin With Invalid path","SUCCESS","2022-12-06T07:15:19.9046396+07:00[Asia/Bangkok]","0.0","0.16"
"Login admin Feature testing","Login Admin Without Email","SUCCESS","2022-12-06T07:15:20.0740724+07:00[Asia/Bangkok]","0.0","0.21"
"Login admin Feature testing","Login admin Without Password","SUCCESS","2022-12-06T07:15:20.2905193+07:00[Asia/Bangkok]","0.0","0.18"
"Service vehicle customer","Get all vehicle service with valid parameter id","SUCCESS","2022-12-06T07:15:20.5540737+07:00[Asia/Bangkok]","0.0","0.59"
"Service vehicle customer","Get all Vehicle service with invalid parameter id","SUCCESS","2022-12-06T07:15:21.1573495+07:00[Asia/Bangkok]","0.0","0.5"
"Service vehicle customer","Get Vehicle service without id","SUCCESS","2022-12-06T07:15:21.6697963+07:00[Asia/Bangkok]","0.0","0.15"
"Service vehicle customer","Get vehicle service customer with invalid path","SUCCESS","2022-12-06T07:15:21.8251316+07:00[Asia/Bangkok]","0.0","0.14"
"Service vehicle customer","Get vehicle service customer with invalid token","SUCCESS","2022-12-06T07:15:21.9775671+07:00[Asia/Bangkok]","0.0","0.14"
